"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","99.65","","","","2"
"2010","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","100.30","","","","2"
"2011","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","77.13","","","","2"
"2012","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","84.81","","","","2"
"2013","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","79.07","","","","2"
"2014","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","86.78","","","","2"
"2015","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","100.62","","","","2"
"2016","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","96.12","","","","2"
"2017","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","107.27","","","","2"
"2018","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","118.75","","","","2"
"2019","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","129.77","","","","2"
"2020","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","114.60","","","","2"
"2021","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","108.11","","","","2"
"2022","Brandon, Manitoba, municipal [46005]","2021A002546005","Crime severity index","Index","160","units","0","v66448056","5.1","120.42","","","","2"
"2001","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","0.00","","","","2"
"2002","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","0.00","","","","2"
"2003","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","74.52","","","","2"
"2004","Morris, Manitoba, Royal Canadian Mounted Police, rural [46013]","2021A002546013","Crime severity index","Index","160","units","0","v66448068","6.1","77.38","","","","2"
