"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","241.09","","","","2"
"2012","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","192.15","","","","2"
"2013","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","173.87","","","","2"
"2014","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","124.95","","","","2"
"2015","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2016","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2017","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2018","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2019","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2020","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2021","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2022","North Peace Tribal, Alberta, municipal [48006]","2021A002548006","Crime severity index","Index","160","units","0","v66455268","6.1","","..","","","2"
"2001","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","0.00","","","","2"
"2002","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","0.00","","","","2"
"2003","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","0.00","","","","2"
"2004","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","0.00","","","","2"
"2005","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","","..","","","2"
"2006","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","","..","","","2"
"2007","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","0.00","","","","2"
"2008","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","152.80","","","","2"
"2009","Lloydminster, Alberta, Royal Canadian Mounted Police, municipal [48007]","2021A002548007","Crime severity index","Index","160","units","0","v66455280","7.1","162.49","","","","2"
