"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","0.00","","","","2"
"2004","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","0.00","","","","2"
"2005","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","0.00","","","","2"
"2006","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2007","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2008","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2009","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2010","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2011","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2012","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2013","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2014","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2015","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2016","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2017","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2018","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2019","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2020","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2021","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2022","Baie-Comeau, Quebec, municipal [24015]","2021A002524015","Crime severity index","Index","160","units","0","v65968253","5.1","","..","","","2"
"2001","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","0.00","","","","2"
"2002","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","0.00","","","","2"
"2003","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","0.00","","","","2"
"2004","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","0.00","","","","2"
"2005","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","0.00","","","","2"
"2006","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2007","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2008","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2009","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2010","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2011","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2012","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2013","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2014","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2015","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2016","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2017","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2018","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2019","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2020","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2021","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2022","Bedford, Quebec, municipal [24028]","2021A002524028","Crime severity index","Index","160","units","0","v65968265","6.1","","..","","","2"
"2001","La Vallée-du-Richelieu, Quebec, municipal [24029]","2021A002524029","Crime severity index","Index","160","units","0","v65968277","7.1","61.16","","","","2"
"2002","La Vallée-du-Richelieu, Quebec, municipal [24029]","2021A002524029","Crime severity index","Index","160","units","0","v65968277","7.1","58.55","","","","2"
"2003","La Vallée-du-Richelieu, Quebec, municipal [24029]","2021A002524029","Crime severity index","Index","160","units","0","v65968277","7.1","58.82","","","","2"
"2004","La Vallée-du-Richelieu, Quebec, municipal [24029]","2021A002524029","Crime severity index","Index","160","units","0","v65968277","7.1","11.85","","","","2"
