"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","162956","","","","0"
"2002","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161506","","","","0"
"2003","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","160394","","","","0"
"2004","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","159504","","","","0"
"2005","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","158483","","","","0"
"2006","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","158043","","","","0"
"2007","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","158111","","","","0"
"2008","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","158707","","","","0"
"2009","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","158938","","","","0"
"2010","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","159636","","","","0"
"2011","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","160290","","","","0"
"2012","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161168","","","","0"
"2013","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161452","","","","0"
"2014","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161387","","","","0"
"2015","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161381","","","","0"
"2016","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161450","","","","0"
"2017","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","161694","","","","0"
"2018","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","162064","","","","0"
"2019","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","162591","","","","0"
"2020","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","163335","","","","0"
"2021","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","163630","","","","0"
"2022","Saguenay (CMA), Quebec","2016S0503408","Both sexes","All ages","Persons","249","units","0","v1060779751","26.1.1","165185","","","","0"
"2001","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","705206","","","","0"
"2002","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","710234","","","","0"
"2003","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","714530","","","","0"
"2004","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","718698","","","","0"
"2005","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","723340","","","","0"
"2006","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","729611","","","","0"
"2007","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","738487","","","","0"
"2008","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","748407","","","","0"
"2009","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","758345","","","","0"
"2010","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","768374","","","","0"
"2011","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","777938","","","","0"
"2012","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","783796","","","","0"
"2013","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","789275","","","","0"
"2014","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","794411","","","","0"
"2015","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","799046","","","","0"
"2016","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","804875","","","","0"
"2017","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","810125","","","","0"
"2018","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","816931","","","","0"
"2019","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","825234","","","","0"
"2020","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","832021","","","","0"
"2021","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","836615","","","","0"
"2022","Québec (CMA), Quebec","2016S0503421","Both sexes","All ages","Persons","249","units","0","v1060781071","30.1.1","848776","","","","0"
"2001","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","183635","","","","0"
"2002","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","185727","","","","0"
"2003","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","188063","","","","0"
"2004","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","189931","","","","0"
"2005","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","191580","","","","0"
"2006","Sherbrooke (CMA), Quebec","2016S0503433","Both sexes","All ages","Persons","249","units","0","v1060782391","34.1.1","193295","","","","0"
