location,province,csi,population_density
North Bay (Bonfield),ON,41.9,#N/A
Vanderhoof,BC,96.7,#N/A
Bouctouche,NB,38.8,#N/A
Ucluelet,BC,76.6,#N/A
Souris,PEI,41.0,#N/A
Lebel-sur-Quévillon,QC,135.3,#N/A
Rainy River District (Atikokan),ON,57.4,#N/A
Elkford,BC,38.8,#N/A
Montague,PEI,46.1,#N/A
Lanark County (Montague),ON,29.5,#N/A
Fort Qu'Appelle,SK,123.4,#N/A
Provost,AB,79.4,#N/A
Bow Island,AB,30.2,#N/A
Bathurst,NB,95.1,#N/A
Indian Head,SK,62.9,#N/A
Watrous,SK,41.8,#N/A
Tofield,AB,85.1,#N/A
Picture Butte,AB,37.4,#N/A
Redwater,AB,173.3,#N/A
Morris,MB,63.8,#N/A
Lumsden,SK,64.9,#N/A
South Okanagan-Keremeos,BC,81.9,#N/A
Sundre,AB,148.8,#N/A
Grenville County (Edwardsburgh/Cardinal),ON,61.7,#N/A
Shaunavon,SK,37.5,#N/A
Canora,SK,75.0,#N/A
Fort Smith,NWT,340.0,#N/A
Kensington,PEI,55.1,#N/A
Shelburne,NS,69.1,#N/A
Dalmeny,SK,45.4,#N/A
Wynyard,SK,77.5,#N/A
Kamsack,SK,265.0,#N/A
Baker Lake,NU,295.9,#N/A
Lillooet,BC,200.2,#N/A
Russell County (Russell),ON,31.1,#N/A
Russell County (Casselman),ON,44.4,#N/A
Russell County/Hawkesbury (The Nation),ON,30.4,#N/A
Russell County (Rockland),ON,33.4,#N/A
Nipigon (Terrace Bay),ON,35.8,#N/A
Sault Ste. Marie (Macdonald/Meredith),ON,38.7,#N/A
Lennox and Addington County (Deseronto),ON,81.8,#N/A
Manawan,QC,278.7,#N/A
Vulcan,AB,54.1,#N/A
Wellington County,ON,27.8,#N/A
Carlyle,SK,111.4,#N/A
Fort St James,BC,320.9,#N/A
Lumby,BC,38.3,#N/A
Rosthern,SK,83.1,#N/A
Caledonia Region,NB,65.7,#N/A
Caledon,ON,31.9,#N/A
Avignon/Bonaventure Region,QC,52.2,#N/A
Fox Creek,AB,185.6,#N/A
Maria-Chapdelaine Region,QC,60.6,#N/A
Wikwemikong,ON,296.7,#N/A
Maskinongé Region,QC,38.3,#N/A
Cambridge Bay,NU,486.3,#N/A
Elk Point,AB,355.1,#N/A
Central Hastings,ON,50.0,#N/A
Two Hills,AB,112.0,#N/A
Logan Lake,BC,59.1,#N/A
Matagami,QC,136.5,#N/A
Placentia,NL,64.1,#N/A
Hudson Bay,SK,59.9,#N/A
Témiscamingue Region,QC,82.7,#N/A
Valleyview,AB,236.9,#N/A
Barriere,BC,50.9,#N/A
Red Lake,ON,116.2,#N/A
Obedjiwan First Nations,QC,270.7,#N/A
Antoine-Labelle Region,QC,70.1,#N/A
Inverness County,NS,71.8,#N/A
Little Current (Espanola),ON,74.1,#N/A
Little Current (Manitoulin),ON,65.7,#N/A
Swan Hills,AB,146.2,#N/A
Bassano,AB,48.7,#N/A
Ashcroft,BC,115.9,#N/A
Athabasca,AB,158.1,#N/A
Burgeo,NL,10.2,#N/A
Mayerthorpe,AB,234.8,#N/A
East Algoma (Thessalon),ON,118.2,#N/A
Salmo,BC,96.5,#N/A
Central Hastings (Stirling-Rawdon),ON,33.2,#N/A
Wadena,SK,199.7,#N/A
Carnduff,SK,48.6,#N/A
Nakusp,BC,76.9,#N/A
Gjoa Haven,NU,207.5,#N/A
Dawson,YT,207.1,#N/A
Viking,AB,158.4,#N/A
Sheshatshiu,NL,875.4,#N/A
Grenville County (Merrickville-Wolford),ON,28.1,#N/A
Manning,AB,82.3,#N/A
St. Andrews,NB,35.5,#N/A
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
,,,#REF!
